id	name	515$A	515$0	515$a	515$z	350$0	350$a	340$x
cnp01336792	Heer ### Roman Benedikt ### 	Klingnau, Suisse ### Bâle, Suisse ### 	brth ### deat ### 	cnl00026117 ### cnl00015955 ### 	1761 ### 1804 ### 	lang ### irsp ### acti ### acti ### 	French ### Auteur ### Personen zu Kirchengeschichte, Systematischer und Praktischer Theologie, Kirche und Konfession (3.6p) ### Vikar ### 	340 01$8fre$a05.02.1761-29.01.1804$xa1761a1804 ### 340 01$8ger$a1761-1804$xa1761a1804 ### 
cnp01875178	Pillehotte ### Jean ### 	Lyon ### 	actv ### 	cnl00011383 ### 	1575-1619 ### 	acti ### acti ### acti ### 	Drukarz, księgarz; działał w Lyonie w l. 1575-1612 (od 1575 do 1580 wspólnie z teściem Michelem Jouve). ### Buchhändler ### Drucker ### 	340 01$8ger$aca. 1545-1612$xa1545a1612 ### 340 01$8pol$aca 1545-1612$xa1545a1612 ### 
cnp00388097	Hofmann ### Johann Friedrich ### 	Speyer ### Wetzlar ### Trarbach ### Wetzlar ### 	actv ### actv ### brth ### deat ### 	cnl00006429 ### cnl00015438 ### cnl00032684 ### cnl00015438 ### 		acti ### acti ### acti ### 	Jurist ### Prokurator ### Rechtsanwalt ### 	340 01$8ger$a03.04.1660-06.10.1735$xa1660a1735 ### 
cnp00975831	Petrasch ### Josef ### von ### 	Slavonski Brod ### Nové Zámky ### 	brth ### deat ### 	cnl00020697 ### cnl00021602 ### 		tono ### acti ### acti ### acti ### acti ### acti ### 	Freiherr ### Personen zu Literaturgeschichte (Schriftsteller) (12.2p) ### Personen der Geschichtswissenschaft (Historiker, Archäologen) (16.1p) ### Historiker ### Schriftsteller ### Freiherr; Dichter; Historiker ### 	340 01$8ger$a1714-1772$xa1714a1772 ### 
cnp01123299	Haes ### Eberhard ### 	Wesel ### 	brth ### 	cnl00013479 ### 		acti ### acti ### 	Jurist ### aus Wesel, Respondent in Köln ### 	340 11$8ger$avor 1594 ### 340 11$8ger$a1594-1599$xa1594a1599 ### 
cnp02099512	Bohland ### Johanna ### 	Düsseldorf ### 	actv ### 	cnl00019769 ### 		acti ### 	Schauspielerin ### 	340 01$8ger$a1820$xa1820u     ### 
cnp00430884	Bleidner ### Johann ### 	Bad Lobenstein ### 	brth ### 			acti ### 	Lehrer ### 	340 11$8ger$a1664-1674$xa1664a1674 ### 
cnp00463205	Hildebrand ### Heinrich ### 	Altdorf b. Nürnberg ### Nürnberg ### Zörbig ### Zörbig ### 	actv ### actv ### actv ### brth ### 			acad ### acti ### acti ### acti ### acti ### acti ### 	Prof. ### Personen zu Recht (7.14p) ### Hochschullehrer ### Jurist ### Rektor ### Jurist; Prof. in Altdorf ### 	340 01$8ger$a13.03.1668-27.06.1729$xa1668a1729 ### 
cnp00485436	Winckler ### Heinrich ### 	Leipzig ### 	actv ### 	cnl00016122 ### 		acti ### acti ### 	Arzt ### Selbstverleger ### 	340 11$8ger$a1729-1736$xa1729a1736 ### 
cnp02174844	Caporali ### Filippo ### 	Mailand ### 	actv ### 	cnl00006209 ### 		acti ### acti ### 	Kupferstecher ### Radierer ### 	340 01$8ger$a1794-1848. Sterbedatum unsicher$xa1794a1848 ### 
